,text,true,pred
11,"Caldrea Countertop Cleaner 16 oz A couple years ago I ran across an advertisement for a natural/green all-purposey cleaner (not Caldrea). The gist of the ad was that this brand's ""fun new scents"" made cleaning fun. At the time, I laughed - derisively - because they didn't smell all that terrific, and certainly not amazing enough to turn cleaning the kitchen into something fun.Now, I still wouldn't call cleaning the kitchen or bathroom ""fun,"" but Caldrea actually comes close.Most importantly, I'm impressed with how well it cleans. That's a hazard of using green cleaners; they take out all the harsh chemicals to make them safer for you and your families and your environment, but it was those harsh chemicals that actually cleaned. (Toilet bowl cleaner is a good example. I refuse to get a gentle, natural toilet bowl cleaner. The brand I use is like 400% hydrochloric acid. It actually smokes when you squirt it in the bowl. Forget natural; that stuff rocks.) Caldrea, at least the countertop cleaner, works as well as a traditional all purpose cleaner. It's a higher-surfactant formula than I'm used to seeing, which means that it gets sudsy and cuts through grease, and you seem to need less of it than you do regular cleaners. Which is good, 'cause it ain't cheap. Don't let the ""countertop cleaner"" name fool you, either. It's very all-purpose. (In fact, I have no proof, but I suspect it's really their all-purpose cleaner diluted. So for that matter, you might just want to get that and dilute it yourself in an empty spray bottle to stretch your dollars.)The other thing I like is the fragrance. I have the Sea Salt Neroli one, and it's very nice. If you know what neroli smells like and you're buying it based on that, you might be disappointed; I bought this because I like neroli's scent so much and it kind of missed the mark. The fact that I'm giving this cleaner five stars, though, should point out that even though it's not quite true to neroli, it's still a very pleasant scent. It's exactly the right strength, too. It doesn't overpower your house for days like, oh, Pine Sol or something, but it doesn't immediately evaporate, either. It's a very pleasant, clean smell - not chemical or cloying - that is just strong enough for you to catch a hint of it an hour or two later when you walk through the kitchen.My point to telling you about the ""makes cleaning fun!"" ad is that this is the closest I've ever come to actually enjoying myself cleaning. Not that it's any less of a pain, but I find myself a little more motivated if it means that my kitchen gets to smell pretty afterward. I do suggest trying this. It's expensive, true, and usually efficacy is really the only thing I'm after in a cleaner, but this is efficacious with a fun little reward at the end",beauty,health personal care
12,"Hello Kitty Table Lamp Strawberry Shade this is a great little lamp, so far there has not been a hole burnt into the shade. that sometimes happens if you use the wrong watt lightbulb, don't use higher than a 60. this lamp is sort of flimsy, it is very light-weight but it is great for a child. it gives off a very soft, nice pink light. the cord is a little too short though. but its a very cute lamp and works well!",baby products,toys games
13,"Now Foods, Xylitol This product tastes exactly like sugar. I use it with confidence knowing that my body does not react like it would with refined sugar. I love it!",grocery gourmet food,health personal care
14,Lafeber El Paso Parrot Nutriberries 10 oz Excellent as is the entire Lafeber line in my opinion.,pet supplies,grocery gourmet food
15,"47"" River Rat Inflatable Flaoting Water Tube By Intex We got one of these for use on a small river. Works great. Pretty comfortable and just the right size for an adult. It's held up well so far.",toys games,health personal care
16,"Sedona Suite Have you been to the edge of eternity? Well I have, and it is Sedona Suite.I love this album. From the soothing synthesizer to the feeling of resentment and muted joy comparable to what I get when I look at wedding notices in the local paper, this album delivers more than UPS on a substitute federal holiday that isn't observed by private industry. As we near the 20th anniversary of this album's release, I can comfortably say no other album has captured the beauty of Yavapai and Coconino counties as this wonderful track set--so, so completely.Wikipedia calls Tom Barabas ""This article may not meet the notability requirements for music,"" but I think Sedona Suite is the most notable piece of easy listening jam I've had since I put that orange marmalade in my ear last Christmas.My favorite track has to be Suite Memories. It reminds me of my ""suite"" memory--the time I went with my youth pastor to a 4H fair in Branson, MO where in a somewhat inappropriate way I learned how to bribe a desk clerk and reroute an IP address.Is this making sense?Look, life is a mystery, and so is beauty",health personal care,toys games
17,"GiGi Brazilian Wax Microwave Formula Hair Removal System Hair Removal Wax This is the first wax removal product I have used on my own. It was incredibly easy. I bought it because I have been thinking about doing my own wax removal on my legs and didn't want to purchase a warmer and wax, if I thought it was too difficult. There was very very little pain, I tweezed a few spots afterwards, and that was excruciating. The down side was the wax would get stiff quickly. It took a little bit to get the right consistancy so that it would spread easily - but hey its my first time. I did decide that this is an excellent choice for touch ups while traveling without having to take the warmer and wax. I will definitly stick with this line of products and will purchase another microwave kit set.",beauty,health personal care
18,"EuroRider I originally had a snuggli, but found it to be very cumbersome and uncomfortable for my 1st daughter. Was going to buy the baby bjorn when I read some reviews for the eurorider and decided to buy it instead. I don't regret it. My 2nd daughter has been riding comfortably since 2 weeks and I find it to be simple to use and extremely comfortable. That says alot since I primarily use it for hiking!! My back does hurt after 3 or 4 miles but with a backpack on to counterbalance me, I have no pain. I also only gave it four stars because the head support doesn't fold down very well when my 10 wk old faces out. I think I will install some kind of snap or velcro and the problem will be solved.",baby products,health personal care
19,"Better Living AVIVA Dispenser Shower Basket, Satin This is one of the few times I give a 5 star review, but this dispenser with basket is really perfect in my opinion. I installed it in our shower and couldn't be happier.Pros:- easy to install. screws are only optional, and from my experience with it for over a month, the supplied glue is strong enough to last.- cut down on the clutter. I don't have to keep all the bottles on the floor of the shower.- clean. no bottles = no scum build-up around the bottom of the bottles.- basket adds more rooms to keep organized for things that does not go in the dispensers.- refilling is easy, just open the top cover and pour.Cons",beauty,baby products
20,"Olivella Face and Body Bar -- 5.29 oz Throw away your moisterizer. Don't need it after taking a shower or a bath with this soap. After using this product, you'll never go back to what you were using before.",baby products,beauty
21,"Dymatize Nutrition ISO 100 Whey Protein Powder By now I've tried both the chocolate and fuzzy navel flavors (my first review commented on vanilla only). Both chocolate and fuzzy navel taste outstanding! Highly recommended along with vanilla! I now keep all three available to supplement my daily meals (vanilla, chocolate, and fuzzy navel). I've been using the vanilla and chocolate much longer than fuzzy navel, but so far the fuzzy navel flavor is nearly addictive to my tastes (my craving for it may eventually pass, but so far I like it as well if not better than chocolate or vanilla). The fuzzy navel flavor tastes close to vanilla with a very light touch of peach and orange added. In a way the flavor reminds me of the ""lemon"" ice cream or frozen custard I ate as a kid; it really didn't taste like lemon at all, but was more interesting and tastier than vanilla. The fuzzy navel flavor is so subtle you could probably use it in frozen fruit smoothies instead of vanilla (I haven't tried this yet) and not notice much of a difference (and this would allow you to reduce your inventory from three flavors to two flavors by dropping the vanilla).I am on my 3rd 5 lb container of vanilla, 2nd chocolate and 1st fuzzy navel. I often pack a lean lunch (including a small amount of animal protein, fruit and vegetable) and premix four servings of ISO*100 to take with me when I go off to work for the day (following something similar to BFL, eating a meal every two hours or so) and all flavors keep well throughout the day when premixed (or even keep well overnight). I still prefer to mix on the fly when I am going to be around the house (see my previous vanilla review for how to chill your water with ice without blending any foam into your delicious meal replacement). When I start weight training again I will add two additional daily servings of ISO*100 (to bring daily protein intake up to one gram of protein per pound of body weight when including my two regular meals).It does not matter whether the IOS*100 you buy has a white or black plastic container, or whether what you buy is labeled as a ""gourmet"" flavor or not. Don't pay more; if you hunt online price you should be able to find 5 lb quantities for somewhere around $60 or less. As far as I can tell, Dymatize has replaced their old blends with new blends labeled ""Gourmet"" and part of that upgrade involves changing the container color from white to black. The last time I ordered online, the picture of what I ordered showed a white container and did not include the word Gourmet on the flavor label; what I received in the mail was the black container with the Gourmet labeling. My first two containers of vanilla were the old recipe in the white containers; and compared to the newer gourmet black container this older style vanilla was slightly ""grainy"" when thoroughly mixed compared to the newer ISO*100 products from Dymatize (my chocolate and fuzzy navel were ever grainy but these have always been in black containers).Regarding Dymatize's use of Sucralose; although you can find some limited negative press on this particular artificial sweetener, it is one of the most recently developed zero-carb sweeteners and considered by most authorities to be much healthier than earlier popular artificial sweeteners. If anything better comes along in terms of ""health"" and ""taste"" I'm sure Dymatize will be quick to pick it up. In the meantime, having a pure high protein low carb drink is a great convenience. I still have not found a better or comparable product. Thank You Dymatize and all the retailers selling this at affordable prices.",health personal care,grocery gourmet food
22,"Medport Diabetes Travel Organizer From GMS Holds Two Weeks Supplies/ Will Hold Syringes,vials Pens Secure - Cold for 12 hours, Cools for up to 18 Hrs Comes with 2-6 Oz Cold-Gel Paks This is a great case, durable and well made - much more so then any others I have used in the past. It has a lot of room and many pockets to allow you to set up what you need to carry in an organized way. I have no issue with zippering the cool side even when loaded with pens and vials and both ice packs.My one disappointment is that it is advertised with a detachable container for used sharps and supplies to hold them until you can move them to an appropriate permanent container, however the case came with 'snaps' where this container must attach but no container as it is showing the in the images and mentioned in what comes with the case. One of the several things I was looking for in a case was a special container like this so I did not have to devote a pocket to playing the role or carrying a separate container. I have looked and there does not seem to be anywhere this container is sold separately so I am bit bemused by why it was not included in the original packaging. The case came sealed in its packaging so I don't think it was originally there and just strayed.Update",health personal care,toys games
23,"Hitec 31311S HS-311 Servo Standard Universal This servo is a standard type and is a good choice for work that doesn't require high torque or miniaturization,Prompt order execution and shipment",toys games,health personal care
24,"World Organic Chlorophyll Liquid Thank you for a great product and fast delivery! I mix it with spring water, lemon juice and stevia (natural leaf) sweetener. It tastes great!",health personal care,grocery gourmet food
25,"Satin Edge Manicure/Pedicure Set 9 pieces The set is nicely made , but a little ""clunky"" due to it's size. The clippers would be easier to use if they were a little smaller.",beauty,toys games
26,"ADL Ear Flushing Drying Lotion - 8 oz This is my favorite ear drying lotion. I use it along with the Foaming Ear Cleaner, also made by ADL. They are really great together. I used to only wash my dogs ears and they kept getting infected, over and over again.....Then someone mentioned getting drying powder and that worked alright, but not great. I was convinced there must be something better out there and after a lot of questions and products tried, I finally found this one and it will be the only one I ever use again. It really does work well, better than any other one I have tried, hands down.Even my vet uses it in her office.",pet supplies,beauty
27,"Fresh Wave Super Gel 4 Pounds I purchase this product to place in my ""kitty room"". Love the way it eliminates Kitty odors and freshen the room and closet where she sleeps!",health personal care,pet supplies
28,"Glass Magic Performance Booster, 16-Ounce Boxes (Pack of 8) This product solved my dishwasher problems. With very hard water, my dishwasher was coated with scale and dishes emerged grey and scummy. Tried everything - repeated cycles with strong vinegar, several bottles of CLR, and anything else I could think of. Was ready to bite the bullet and buy a new dishwasher. Found Glass Magic through discussion forums on the internet. Glass Magic removed the scale, and my dishes come out sparkling. It should be sold in every store!",health personal care,grocery gourmet food
29,Philosophy The Birthday Girl Gift Set (5 Piece) Great products for a great girl. awsome birthday gift for the girl who loves philosophy.,beauty,toys games
30,3 Outlined Two-Color Fade Number Kits Excellent choice for our 2 wave runners! Application not too hard especially after watching you tube video.Great buy. Fair price.,baby products,toys games
31,NicoDerm CQ I asked shipper if he could send quickly as I was going out of town. He sent the next day! He was great! Will definitely order from him again.,health personal care,pet supplies
32,"GUM Go Betweens Proxabrush Refills, Wide, 8-Count Packages (Pack of 6) Couldn't find these anywhere locally and was amazed to find it thru Amazon.com. Price was right, so was shipping. Thanks so much.",health personal care,grocery gourmet food
33,"Sassy Baby Changing Pads 36 Count Box, White These aren't as thick as the Pee Wee pads, but at half the price, iy's a good deal. The descripyion left the size off",baby products,health personal care
34,"Altoids - Ginger Tin - 1.76 oz. I bought this hoping it would have the sparkle of fresh ginger, but it tastes only of powdered dried ginger & sugar. No depth of flavor or nuance.Some people may enjoy, but it's not my choice.",health personal care,grocery gourmet food
35,"Berman Center Aphrodite Infrared Rechargeable Massager I was not pleased literally or figuratively with the Aphrodite. As a woman well acquainted with her own body, this toy is nothing more than a toy.Problems with the Aphrodite:- 3 boring speeds- Infrared, no, more like infra-cold (no heat)- It was finished long before a virgin would have been, meaning that the rechargeable battery hardly held a charge- It is freaking LOUD!!!- It is huge, like riding a horse, forget about pinpointing anything with it- Weak... I could not even get rid of a knot in my back with it.Do yourself a favor and look for fun somewhere else. This is only a waste of time, energy, money, and anticipation.Makes me wonder if Dr. Berman is actually a man.",health personal care,toys games
36,"Futurebiotics - Hair, Skin & Nails I don't know about making your hair grow or making your nails stronger but it's a good everyday vitamin. I gave it a 3/5 because I bought it specifically to help my hair grow and make it stronger which it doesn't do.",health personal care,beauty
37,PETCO Flying Disc Plus,pet supplies,toys games
38,"Chicco Activity Baby Walker This walker I was hoping would work for my 9 1/2 month old who wants to climb and pull himself up on everything. I was hoping this would do it, not so much. When I picked it up from the UPS guy the package was large but I could easily pick this up with one hand while carrying my son. I guess this should have tipped me off to how light it would be. It snapped together easy without tools which is a plus and has brakes for the back wheels but all the wheels are plastic and because the thing is so light it slides everywhere even on carpet. He likes playing with the front and the lights/music he enjoys a lot but wants to climb up the front too but due to it's lightness it would just tip over on him if I wasn't there to prevent the thing tipping over. He cannot even pull himself up from the back because again too light, tips. He might be able to use it when he is older (when he is better at walking but that's kind of the point of why I wanted it) but not sure. I would return it but don't know if I can take it apart again and he has used the front part which he enjoys but I cannot leave him alone with it or in the same room with him as he is moving fast now (crawling). So not what I had hoped and would really like to know a walker that doesn't tip and has rubber or rubberized wheels that doesn't move too fast for him.",baby products,toys games
39,"Safety 1st Bath Time Travel Changer 1ea I used this every day almost for both of my children and passed it down to my cousin. It is very soft and easy to clean. I started using it after bath time, because I could use it in the bath room and wouldn't have to carry a wet baby through the house. I would give this product an A+++ for making my life a little easier.",health personal care,baby products
40,"Makit Products Inc. Make A Plate Don't recommend this product at all.First, the plate you get is made of melamine. This was the chemical that was used in China to dilute infant formula resulting in many children's deaths.Secondly, you can't microwave these plates. So what you end up with is a decoration to clutter up your cabinet space.Finally, you must wait for the plate to be made and this company's customer service has fallen off dramatically. It used to be a well run family business but no more.",toys games,grocery gourmet food
41,"Rainbow 0072120 Rainbow Recyclable Paper Bags Great product! Bought these bags for a Sunday school craft. We decorated the bags, folded over the top and added ribbon handles, and put fun toys inside. The children enjoyed making them and showing them off to their parents. I would definitely recommend these bags.",health personal care,toys games
42,Dreamscapes Soother My 2 year old Loves this toy. The only problem i have with it is Its a battery sucker I have to change the batteries every 4 days! And that gets old!,baby products,toys games
43,"Infantino Light and Sound Galaxy My son who is now 3mths old fell in love with this toy, which I purchased because it was slightly cheaper than a lot of the other playmats. However, the actual mat is basically useless &amp; I had to purchase a travel mat to place under the toy which cost me $14 so its probably better just the spend the extra money on a nicer gym. In addition, it wears out its batteries very quickly &amp; if the batteries are low the ball in the middle will not rotate therefore the music will not play which is kinda bad because my baby loves the music &amp; lights on this toy. I will say that my son loves this silly toy &amp; out of everything else that I have purchased this is easily one of his very favorites. He laughs, kicks, reaches &amp; can even move the toys above at 17 weeks.",baby products,toys games
44,"Sassy Froggie Spout Guard We bought this to protect my daughter from hitting her head on the faucet in the bathtub. Unfortunately, this item is quite hard and so I'm not sure that it really would be that much less painful if she slips. It fits fine on our bath spout, but it also comes off very easily. Sometimes she takes it off and plays with it in the tub. I don't think it is worth the money. If I were going to look for something like this again I might try one of the inflatable ones, which would provide more padding for little heads.",baby products,toys games
45,Masters of the Universe Battle Cat He-Man's loyal pet is now modernized. Battle Cat is a great looking toy and compliments the new He-Man and his allies. I recommend it for all fans of the 80s show and the new one coming soon on the cartoon Network.,toys games,pet supplies
46,"Smart Globe I had no complaints about this product and everyone enjoyed it.. while it worked that is. We've since gone through customer support twice to replace what they said was a malfunctioning pen, but to no avail. On the good side, customer support was very helpful and easy to communicate with (not always so common any more). I'd rate this a 4 or 5 if it was still functional. I bought a 2nd one for my nieces and apparently that one is still working.",toys games,health personal care
47,"Pet Tornado it's just sparkles in a jar, shake it and you'll see a tornado for 3 seconds or so then you have to shake again and again. not worth all the effort.",toys games,health personal care
48,"Fisher-Price Miracles and Milestones - Mix and Match Musical Mobile I would like to ask others who have purchased this mobile if they hear a ""buzzing"" sound as the mobile rotates. It seems loud to me and I'm wondering if this is normal or if I purchased a defective one.Also, I feel the music is too loud even at the lower volume selection. I even covered the speaker to muffle it as it's primary purpose is to put the baby to sleep not keep him/her awake.",toys games,baby products
49,"1 Step-Compac 14102 1 Step Tub Shower Cleaner 4ct I love this product. I love the fact that there is no chemical smells when cleaning. Everything is definitely one step. I have a fiberglass tub with a smooth finish.We get a lot of soap that sticks to out bathtub and soap scum.I just wet down the tub, and scrub away. You definitely don't want to wet the sponge. That is where you will have trouble with the soap not lasting very long. If I just wet down the tub and walls and not the sponge and it will clean my whole tub. It comes out really clean. The only trouble I have is if I don't clean it on a regular basis. The soap scum doesn't come off as well. I also have a removable shower head that I can take on and off. That helps a lot to wet down the walls.I will purchase this product again.",health personal care,beauty
50,"Zodiac Carpet & Upholstery Powder, 16-ounce This carpet powder worked wonders. No flea problems now where we put it. Actually, I gave it 4 stars because of the price. There is powder at Walmart for less than $4.00 that worked the same.",pet supplies,health personal care
51,"Toddlerz Toddlin' Tunes Puppy They have these puppies at my daughter's infant daycare, and they are a huge hit with the 6-9 month old babies. Just like the other reviewer said, the babies try to stuff the bone-shaped mallet (which is attached so it can't get lost) into their mouths. Because the other babies like this toy so much, I went ahead and ordered it for my baby.",toys games,baby products
52,Poolmaster Inc 46X24 Hammock Lounger 70743 Inflatable Toys Ordered blue they sent me pink so I returned the item!-----and found the exact same item (in the color I wanted) at my local Ace Hardware store for less $$!!!!!!!,toys games,beauty
53,"Summer Infant Nasal Aspirator ! I love this thing, and always recommend it to all of my new-mom friends.It has less suction than the hospital aspirator, but the hospital one doesn't remove much if you can't get it up your child's nose. My child would squirm and fight and cry when the hospital bulb came out. I'd worry about poking my child's eye out with all the fighting and squirming. With this, my child would stay still, and sometimes try to put it in his nose himself - it's that much more comfortable. And since it's shorter from bulb to tip, I feel that I have better control getting that tip in.I *love* the clear tip - so I can see how much or little has been suctioned out - and I love the fact that I can take it apart and clean it. We've had ours for 2 years and it's still working great! I'm here because I was looking up the link to give to another mommy friend.",health personal care,baby products
54,"Verilux ClearWave Deluxe Acne Light When used at least 6 days per week for 15 minutes it does a great job at nearly eliminating breakouts and keeping skin clear for my 14 year old daughter. I got the light because I had noticed that she did not break out during the summmer months, and hoped that using this light would have a similar effect, and it does. Much better results than benzoyl peroxide and salicylic acid products alone have had. We have found that she can skip one day, but if 2 days are missed, breakouts reoccur. I think that over time it will pay for itself when considering what I have spent on expensive over-the-counter acne treatments. We are now getting by with just an inexpensive Equate brand cleanser and a foundation for acne-prone skin.",health personal care,beauty
55,Escape Travel Sleep Mask with Carry Pouch - Night The pictures do not show that this mask has eye pockets which makes it more comfortable than the flat kind.,health personal care,beauty
56,"Our Pets Lift-N-Aid Large Mobility Harness This was extremely important to have when my Rott came home from a knee operation. It made it much easier and comfortable to take her outside. It also made me feel more at ease taking her, knowing I had control and she would not get hurt.",pet supplies,health personal care
57,Bragg Organic Vinegar Apple Cider () After reading up on ACV for a few months I finally tried it. I have acne and I bought it for the sole purpose of getting my skin clear. For the past 3 months I have been using it and I can say it has been a miracle cure for my skin. I typically take it 3 times a day (1 tablespoon in about 2oz to 4oz of water) and it does the job. Literally in 2 days my skin showed signs of clearing. Just recently I took a 10 day trip to Japan and I left the bottle because I was unsure about being able to travel with it. My breakouts slowly came back and upon returning home I started taking it immediately and overnight my skin was back to normal. This is one product that I can say for sure has an effect on acne. It also makes me feel a little full if I drink it before a meal.,grocery gourmet food,beauty
58,"Skin Tight In-grown Hair Lotion Extra Strength 4 oz I am an African American female who suffers from hairs on my chin. For years, I plucked and shaved them, eventually developing serious ingrown hair bumps which are unsightly under make-up. I tried many products for ethnic skin to relieve the problem, even visiting a dermatologist for different prescriptions, but nothing worked. I researched online for possible remedies and came across the site for B&C Skin Tight. I read several positive reviews, then quickly visited my beauty supply store. I was fortunate to obtain a few sample packets. I tried it and had almost immediate improvement! Within a week, the bumps virtually disappeared! I now use the Razor & Bump Astringent in the morning and the Ingrown Hair & Razor Bump Creme at night. The website says not to be used with the astringent but I've had no problems. In fact, the creme moisturizes because the astringent can be somewhat drying to the skin. When I get a little lax and don't use the products for a few days, the bumps return. Skin Tight products are a bit pricey but less expensive than prescription products and give fantastic results!",health personal care,beauty
59,"The Journey to Wild Divine Biofeedback Software & Hardware for PC & Mac 1. It is unstructured, you need to spend a lot of time exploring the game.2. Most of my time is spent wandering around walking very slowly from one place to another (without knowing where I am heading to).3. The different exercises are just slight variations of each other. Not much to learn from different games.4. There are very little instructions on how to control your state of mind/body to play the games.5. It is a very frustrating game for people with type A personality, who are impatient and have trouble calming down.",health personal care,toys games
60,"Sally Hansen La Cross Toenail Scissors Strong Blade 72877 The blades are ridged, which is what i didn't want. There was no description so I assumed the blades were smooth.",beauty,health personal care
61,Sandylion Decorative Wall Stickers - Disney Mickey Mouse I did my 10 month old room in a Mickey Mouse theme. When I saw these stickers on-line I loved them. When I got them and put them on the wall they were even better in person. Very colorful and easy to peel on and off the wall. I would highly recommend them to anyone who loves mickey mouse.,baby products,toys games
62,"Deb-El Just Whites, 3-Ounce Containers (Pack of 6) I rarely buy eggs and when I do I have to think of ways to use the leftovers before they spoil. So I bought a container of Just Whites to keep conveniently in the cabinet. I thought it would be great to have around anytime I wanted to make something and not have to go to the store to buy eggs or worry about having more than I needed, but I don't like using this product. The powder is ridiculously sticky, making it difficult to use. When mixing with water like the instructions say the powder simply sticks to the fork or whisk in clumps and won't combine with the liquid. It has replaced egg whites in some baked goods I've used it for but Just Whites has been more of an annoyance than a convenience.",grocery gourmet food,health personal care
63,Sassy Counting and Spell Bath Appliques These letters are thick and a perfect size for the bath. They are durable so if my baby decodes to chew on them I don't have to worry about them being a choking hazard! Highly recommended!,toys games,baby products
64,"Elegant Baby Squirties These are very cute and my daughter loves playing with them. She has always loved chewing on the octopus. I had no problem with these until I kept finding this long stringy goo in the tub with her. It went on for weeks until I saw it oozing out of the holes in these toys! I squirt all the water out after each bath, but it stays just moist enough to grow mold--or something slimy, brown, and gross!!! I shudder to think about all the times my baby put these in her mouth!",toys games,baby products
65,"Glyco Flex III (120 Tablets) My 10 year old German-Shepherd mix has had arthritis since puppyhood, and has always walked with a limp on her left front leg. As she grew older, she blew out both knees (2 TPLO surgeries), and developed arthritis in her hips, pelvis, both knees, left elbow and her ankles. We've tried most of the products out there over the years, and I never saw a difference in her walk.Finally, last year, the surgeon who did her most recent knee surgery suggested we try GlycoFlex III. After about 3 weeks, for the first time in her life, she was walking without a limp. I had to ask friends to watch her walk and tell me if she was limping because I couldn't believe it could be true.We started out with 2 tablets a day, but now she gets one in the evening and 1/2 in the morning. She doesn't particularly like to eat them, so I break them up into her dinner and breakfast.Amazon has the best price I've seen on GlycoFlex III, anywhere.",pet supplies,health personal care
66,"Wahl 79450 ComboPro 14-Piece Complete Styling Kit It is my 3rd set clippers. I bought it in April 2009. The whole kit looks pretty cheap, from the box to the blades. The box cover did not even fix. The clipper was made with very cheap plastic and some scratch was seen. There is huge noise when turn on. Finally unable to cut in 6 months. Just pull hair. I am very good in maintaining. It must be product defect. Try to contact the manufacture",health personal care,beauty
67,Cod Liver Oil - 32 oz This is a great price on a great product. I give my Great Dane 1 tsp. daily and she looks great. It's a great size for the price! Love it.,pet supplies,health personal care
68,Home Health - Castor Oil I have been using this product for a month on my hair and I truly love it. It last long so I only use it once a week on my scalp and also on the edges and ends of my hair. I put a little in my conditioner as well; I aslo notice that my scalp itches less. I even use it on my boys hair. Overall great product and I will be reordering a larger size next time!,health personal care,beauty
69,"Little Tikes 2-in-1 Snug & Secure Swing I purchased this swing for my 9 month old son. He loves to swing. However the swing straps on this swing seemed to annoy him. Due to the design of the straps he was able to free himself, and just hang over the safety bar. The design also seemed to push him down and caused him to slouch and lean in unconfortable ways, so he never wanted to stay in this swing very long. The rope was also very short, as the instructions indicate swing should be no more than 18"" off the groud, and ours was easily 3'. Rope was also hard to adjust to swing straight, so he was always swinging a bit crooked. We returned it after only 3 days and purchased a roadster child swing at the Home Depot(also found on amazon)it looks like a little car, and baby just loves it, and I can tell he is comfortable and safe!",toys games,baby products
70,Neocate Infant Formula Powder with DHA and ARA for Infant Develop - 14 Oz / Pack 4 / Case (4 X 400GMS) We were recommended to use this formula due to severe food allergies to my 5 month old son. His spit-ups stopped after using this and stools also became better.,grocery gourmet food,baby products
